ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSG00000160310"	"PRMT2"	chr21	+	46636438	46636547	46635166	46635763	46636895	46636990	0	161	33	86	25	200	100	0.291779446037	0.595237969686	0.709	0.632	0.077
10	"ENSG00000182871"	"COL18A1"	chr21	+	45480069	45480156	45479901	45479964	45480466	45480520	10	264	0	155	2	186	100	0.537481621079	0.794091809802	1.0	0.977	0.023
12	"ENSG00000197381"	"ADARB1"	chr21	+	45134714	45134832	45128401	45128573	45171609	45171684	12	17	12	10	7	200	100	0.994061563138	1.0	0.415	0.417	-0.002
13	"ENSG00000197381"	"ADARB1"	chr21	+	45175729	45176664	45171609	45171684	45180329	45180444	13	57	0	58	5	200	100	0.00373694880482	0.0379130551128	1.0	0.853	0.147
14	"ENSG00000197381"	"ADARB1"	chr21	+	45181479	45181516	45180435	45180444	45182584	45182753	14	1	6	0	5	136	100	0.270300080352	0.587473787587	0.109	0.0	0.109
15	"ENSG00000197381"	"ADARB1"	chr21	+	45184473	45184593	45183361	45183510	45184922	45185091	15	18	8	30	14	200	100	0.923981958294	1.0	0.529	0.517	0.012
16	"ENSG00000160256"	"FAM207A"	chr21	+	44973196	44973265	44967033	44967181	44976679	44976973	16	156	21	110	8	168	100	0.136297741849	0.412694673315	0.816	0.891	-0.075
21	"ENSG00000160226"	"C21orf2"	chr21	-	44334060	44335804	44333032	44333262	44337648	44337667	21	11	10	2	7	200	100	0.0660203239032	0.253757630728	0.355	0.125	0.23
22	"ENSG00000160226"	"C21orf2"	chr21	-	44335757	44335804	44333032	44333262	44337648	44337667	22	90	10	59	7	146	100	0.922958403107	1.0	0.86	0.852	0.008
33	"ENSG00000160190"	"SLC37A1"	chr21	+	42514630	42514717	42513891	42513924	42518276	42518510	33	2	0	8	2	186	100	0.0242721336452	0.131571371954	1.0	0.683	0.317
35	"ENSG00000160190"	"SLC37A1"	chr21	+	42579735	42579800	42574817	42574915	42580344	42581440	35	13	1	2	0	164	100	0.320698262926	0.617347117882	0.888	1.0	-0.112
40	"ENSG00000157601"	"MX1"	chr21	+	41430532	41430608	41427754	41427866	41432049	41432147	40	23	1	14	0	175	100	0.239184964379	0.577871523455	0.929	1.0	-0.071
44	"ENSG00000183036"	"PCP4"	chr21	+	39916065	39916186	39898475	39898527	39928983	39929397	44	0	30	2	7	200	100	0.138225091687	0.416593957652	0.0	0.125	-0.125
61	"ENSG00000182093"	"WRB"	chr21	+	39393165	39393280	39391768	39391836	39396865	39397116	61	154	1	54	0	200	100	0.85151134301	1.0	0.987	1.0	-0.013
62	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39345958	39345145	39345274	39347246	39347292	62	6	5	2	0	200	100	0.000843466604094	0.0139727871681	0.375	1.0	-0.625
64	"ENSG00000205581"	"HMGN1"	chr21	-	39345829	39345958	39345145	39345274	39348291	39348339	64	0	110	3	82	200	100	0.662513493583	0.886242540126	0.0	0.018	-0.018
69	"ENSG00000205581"	"HMGN1"	chr21	-	39347246	39347292	39345829	39345958	39348291	39348339	69	6	0	0	1	145	100	6.10540207122e-05	0.00233078755994	1.0	0.0	1.0
